condition,scenario,method,param,attack,side,n_clusters,n_trajectories,hit,hit_low,hit_high,error_cells,error_cells_low,error_cells_high,error_m,error_m_low,error_m_high,peak,peak_low,peak_high,logloss,logloss_low,logloss_high,covered95,covered95_low,covered95_high,credible95,credible95_low,credible95_high,entropy,entropy_low,entropy_high,prior_hit,prior_hit_low,prior_hit_high,raw_completion,raw_completion_low,raw_completion_high,coverage,coverage_low,coverage_high,reward,reward_low,reward_high,latency_slots,latency_slots_low,latency_slots_high,gate_us_p50,gate_us_p50_low,gate_us_p50_high,gate_us_p95,gate_us_p95_low,gate_us_p95_high,ece,ece_low,ece_high,utility,utility_low,utility_high
static_adaptive_pml_0.025,static,pml,0.025,adaptive,8.0,20,80,0.015625,0.015625,0.015625,3.980964259258984,3.854599804617056,4.123438107813179,3980.9642592589844,3854.5998046170553,4123.438107813176,0.015625,0.015625,0.015625,4.158883083359674,4.158883083359674,4.158883083359674,0.925,0.875,0.975,61.0,61.0,61.0,6.0,6.0,6.0,0.015625,0.015625,0.015625,0.003288782282684722,0.0016135567732366513,0.0052581212276334235,0.125,0.0625,0.2,0.125,0.0625,0.2,1.0,1.0,1.0,12.445337500000003,12.3000553125,12.61728546875,13.635574375,13.049198281250002,14.282362203125,0.0,0.0,0.0,0.036101083032490974,0.01779359430604982,0.05681818181818182
static_adaptive_pml_0.05,static,pml,0.05,adaptive,8.0,20,80,0.015625,0.015625,0.015625,3.980964259258984,3.854599804617056,4.123438107813179,3980.9642592589844,3854.5998046170553,4123.438107813176,0.015625,0.015625,0.015625,4.158883083359674,4.158883083359674,4.158883083359674,0.925,0.875,0.975,61.0,61.0,61.0,6.0,6.0,6.0,0.015625,0.015625,0.015625,0.003288782282684722,0.0016135567732366513,0.0052581212276334235,0.125,0.0625,0.2,0.125,0.0625,0.2,1.0,1.0,1.0,12.387787499999996,12.284137343749999,12.509681875,13.434902499999998,13.0837571875,13.901368421874999,0.0,0.0,0.0,0.036101083032490974,0.01779359430604982,0.05681818181818182
static_adaptive_pml_0.1,static,pml,0.1,adaptive,8.0,20,80,0.015625,0.015625,0.015625,3.980964259258984,3.854599804617056,4.123438107813179,3980.9642592589844,3854.5998046170553,4123.438107813176,0.015625,0.015625,0.015625,4.158883083359674,4.158883083359674,4.158883083359674,0.925,0.875,0.975,61.0,61.0,61.0,6.0,6.0,6.0,0.015625,0.015625,0.015625,0.003288782282684722,0.0016135567732366513,0.0052581212276334235,0.125,0.0625,0.2,0.125,0.0625,0.2,1.0,1.0,1.0,12.249743749999997,12.2103875,12.298718593749998,13.314783125,12.848646312500001,14.176034593749998,0.0,0.0,0.0,0.036101083032490974,0.01779359430604982,0.05681818181818182
static_adaptive_pml_0.25,static,pml,0.25,adaptive,8.0,20,80,0.03430552233914399,0.02023834588360084,0.05199622107957766,4.070797412298914,3.8777744734072783,4.291185129829265,4070.797412298911,3877.7744734072785,4291.185129829264,0.03959545686307893,0.03769588590964594,0.04152920553900333,3.9143970097795133,3.845745538651833,3.986135789769097,0.93203125,0.8958203124999999,0.96458984375,49.6140625,47.99852213541666,51.20606770833333,5.578334648196664,5.5231103886666935,5.629523594230403,0.015625,0.015625,0.015625,0.014008393337773387,0.010251626132545977,0.018183620195184647,0.45,0.3375,0.5709374999999999,0.5125,0.375,0.6625,1.0,1.0,1.0,12.166356249999998,12.13747953125,12.201744062499998,12.892361249999999,12.810463312500001,12.992799953125001,0.049437167885601235,0.03716429542409073,0.06465412003833959,0.148014440433213,0.11313707410177712,0.18333633093525178
static_adaptive_pml_0.5,static,pml,0.5,adaptive,8.0,20,80,0.20490830904844576,0.1710415080398479,0.24562992498811592,2.2717524017500503,2.078277939548386,2.463391591603567,2271.7524017500496,2078.277939548386,2463.391591603568,0.17580206742166815,0.15515580550266375,0.1996385853392306,2.5727486573068794,2.433778188925449,2.6858787143201748,0.9445312500000002,0.9179622395833331,0.9690104166666667,22.525520833333335,20.760657552083334,24.446126302083332,3.749519412577874,3.5741340164502233,3.9051003258834838,0.015625,0.015625,0.015625,0.05828065082872669,0.04863285475850052,0.06909416770483698,0.8666666666666668,0.7874999999999999,0.95,2.075,1.725,2.4625,1.0,1.0,1.0,12.213593750000001,12.197662500000002,12.228431718750002,12.8454275,12.802486140624998,12.891028062499998,0.11304355080570017,0.0929899992244204,0.13334320668204283,0.5992779783393503,0.5422429998316594,0.6542790718824961
static_adaptive_pml_1,static,pml,1.0,adaptive,8.0,20,80,0.38163928488168164,0.32554237617908965,0.4392931024488956,1.4829173052250522,1.3068786855114567,1.6916328288804487,1482.9173052250521,1306.8786855114565,1691.6328288804486,0.3714728602410916,0.3248607932058472,0.41993864699436795,1.998612311904375,1.8145954239410123,2.1933026518338665,0.9815104166666668,0.9676953124999998,0.9940104166666668,18.695572916666666,16.898138020833333,20.77684895833333,2.947955661032831,2.705997137617076,3.2109152919981994,0.015625,0.015625,0.015625,0.0807697245879172,0.06935488615731823,0.09242569401181515,0.95,0.8875,1.0,2.8875,2.4625,3.325,1.0,1.0,1.0,13.257581250000001,13.212037500000001,13.3102059375,14.011587500000001,13.89870303125,14.161531359375,0.08558968897873262,0.07664817540869846,0.09456095704209118,0.8339350180505416,0.7789030612244898,0.8880014925373134
static_adaptive_pml_2,static,pml,2.0,adaptive,8.0,20,80,0.45266894287140724,0.40943664723464385,0.49686017565233004,1.28928649528525,1.1385716344173342,1.4490711164374424,1289.28649528525,1138.5716344173345,1449.071116437443,0.44530068880808765,0.40784057249512157,0.48208844537361767,1.7593450967392943,1.615854021988132,1.9194385340771443,0.978125,0.9552083333333334,0.9942773437500001,16.472395833333334,14.630813802083335,18.493704427083333,2.601062513102608,2.4044769113547613,2.807025098936108,0.015625,0.015625,0.015625,0.09087960253601897,0.08003514831370608,0.10312460698063576,0.9875,0.9625,1.0,3.25,2.8375,3.7003125,1.0,1.0,1.0,13.593206250000003,13.564243593750001,13.618219062500001,14.214035,14.157389156250003,14.276324421874998,0.10109657060031993,0.08793156731424391,0.1148641831991786,0.9386281588447654,0.9180283957845433,0.9597069597069596
static_adaptive_pml_4,static,pml,4.0,adaptive,8.0,20,80,0.49341923467061655,0.43347581112225114,0.5470938535561594,1.2769826174218477,1.1064117099927138,1.4645727936933186,1276.9826174218476,1106.4117099927141,1464.5727936933183,0.5175028927087394,0.46910311877647065,0.5597947684061468,1.6270690755168526,1.4441792331266785,1.838495874859284,0.9804687499999998,0.9697916666666666,0.9898502604166667,14.060677083333331,12.33473958333333,15.932480468749993,2.259757650551695,2.0327577444358895,2.509537904498985,0.015625,0.015625,0.015625,0.09645925201079228,0.08432393974046488,0.10952589525613637,1.0,1.0,1.0,3.45,3.0125,3.9375,1.0,1.0,1.0,13.265593750000003,13.235668593749999,13.29658734375,14.041753125,13.9378250625,14.15260428125,0.1008729352901897,0.08502437137880933,0.11824060980829666,0.996389891696751,0.9883709619039001,1.0
static_adaptive_pml_8,static,pml,8.0,adaptive,8.0,20,80,0.4972204601503479,0.4558897258507447,0.5407952444018392,1.2791671276989414,1.131564665001394,1.4313981798471387,1279.1671276989414,1131.5646650013941,1431.3981798471389,0.5185459513310063,0.4838403994081975,0.555059524311038,1.5968727231607613,1.4540136681628617,1.7513951519408968,0.9846354166666667,0.9755208333333334,0.9924479166666667,14.382291666666669,12.731529947916666,16.169654947916666,2.2765617633968143,2.073037583919302,2.4694103295469025,0.015625,0.015625,0.015625,0.09682689906961582,0.08472475307532071,0.10962736636550895,1.0,1.0,1.0,3.4625,3.025,3.95,1.0,1.0,1.0,13.44506875,13.40422484375,13.491900312499997,14.16207375,14.057834562499998,14.295270828124995,0.09403366160948498,0.0804018273576583,0.10718842783419372,1.0,1.0,1.0
static_adaptive_privic_0,static,privic,0.0,adaptive,8.0,20,80,0.19270039543592407,0.1547878022270161,0.23699283587295986,2.408179457615879,2.2133112420135124,2.6329393007414104,2408.1794576158795,2213.311242013512,2632.9393007414105,0.21080088856844367,0.17688909290899849,0.24744251053262917,2.7943550917313584,2.6235914009105263,2.9711871423104568,0.9398437499999999,0.9125000000000002,0.9653710937500001,26.020052083333336,24.42936197916667,27.47727864583333,3.8693807098875914,3.686145732337915,4.040549643089192,0.015625,0.015625,0.015625,0.049363872524771556,0.040666783616002546,0.057159350981952316,0.8791666666666667,0.7833333333333334,0.9625,1.775,1.45,2.05,1.0,1.0,1.0,2.097675,2.06430015625,2.1291745312499994,2.44154625,2.31300246875,2.5779116093750005,0.16040222180230923,0.14029226346202975,0.17935003921057888,0.5126353790613718,0.44910505430242276,0.5837362867488111
